AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Vasantha Kumar,35,2,A1
2,1,Umesh Angadi,20,1,A2
3,1,Manjunath Bagewadi,31,1,A3
4,1,Ravi Rao,15,1,A4
5,2,Renuka Bagewadi,27,2,A1
6,2,Kamala Joshi,23,2,A2
7,2,Kavitha Acharya,31,2,A3
8,2,Prasad Kambli,15,1,A4
9,3,Sneha Prasad,19,2,A1
10,4,Bharath Kattimani,15,1,A1
11,4,Ravi Rao,15,1,A2
12,5,Vasantha Kumar,35,2,A1
13,5,Ravi Rao,15,1,A2
14,6,Manjunath Bagewadi,31,1,A1
15,7,Prasad Kambli,15,1,A1
16,7,Ravi Rao,15,1,A2
17,8,Ravi Rao,15,1,A1
18,9,Vasantha Kumar,35,2,A1
19,9,Naveen Meti,33,1,A2
20,10,Naveen Meti,33,1,A1
21,11,Yogesh Devi,27,1,A1
22,11,Shilpa Kattimani,34,2,A2
23,11,Ashok Kumari,28,1,A3
24,12,Renuka Bagewadi,27,2,A1
25,12,Prasad Kambli,15,1,A2
26,12,Manjunath Bagewadi,31,1,A3
27,12,Shilpa Kattimani,34,2,A4
28,13,Sneha Prasad,19,2,A1
29,13,Jagadish Joshi,38,1,A2
30,14,Umesh Angadi,20,1,A1
31,14,Kamala Joshi,23,2,A2
32,14,Prasad Kambli,15,1,A3
33,14,Manjunath Bagewadi,31,1,A4
34,15,Jagadish Joshi,38,1,A1
35,15,Umesh Angadi,20,1,A2
36,15,Kavitha Acharya,31,2,A3
37,16,Priya Kattimani,28,2,A1
38,17,Renuka Bagewadi,27,2,A1
39,18,Radha Kumari,42,2,A1
40,18,Ravi Rao,15,1,A2
41,19,Prasad Kambli,15,1,A1
42,20,Radha Kumari,42,2,A1
43,20,Priya Kattimani,28,2,A2
44,20,Ashok Kumari,28,1,A3
45,20,Renuka Bagewadi,27,2,A4
46,21,Ashok Kumari,28,1,A1
47,21,Sneha Prasad,19,2,A2
48,22,Ashok Kumari,28,1,A1
49,22,Bharath Kattimani,15,1,A2
50,22,Ravi Rao,15,1,A3
51,22,Shilpa Kattimani,34,2,A4
52,23,Bharath Kattimani,15,1,A1
53,24,Basavaraj Gowda,23,1,A1
54,24,Sneha Prasad,19,2,A2
55,24,Vasantha Kumar,35,2,A3
56,24,Kavitha Acharya,31,2,A4
57,25,Ravi Rao,15,1,A1
58,25,Renuka Bagewadi,27,2,A2
59,25,Vasantha Kumar,35,2,A3
60,26,Bharath Kattimani,15,1,A1
61,26,Manjunath Bagewadi,31,1,A2
62,26,Sneha Prasad,19,2,A3
63,26,Kavitha Acharya,31,2,A4
64,27,Naveen Meti,33,1,A1
65,28,Priya Kattimani,28,2,A1
66,28,Naveen Meti,33,1,A2
67,28,Ashok Kumari,28,1,A3
68,29,Kavitha Acharya,31,2,A1
69,29,Priya Kattimani,28,2,A2
70,29,Kamala Joshi,23,2,A3
71,29,Bharath Kattimani,15,1,A4
72,30,Bharath Kattimani,15,1,A1
73,30,Basavaraj Gowda,23,1,A2
74,31,Jagadish Joshi,38,1,A1
75,32,Renuka Bagewadi,27,2,A1
76,32,Manjunath Bagewadi,31,1,A2
