CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,800010006202400001,202400001,2024-06-17,806,6,3,2,6,19,1,,2024-06-15 23:04:21,2024-06-16 02:04:21,2024-06-16 11:04:21,13.0054,77.6671,"Complainant Surya Bhat reported receiving a call from accused posing as bank official on 15-06-2024. Accused Radha Kumari fraudulently obtained OTP and transferred Rs.61,510 from complainant's account. Cyber cell investigation initiated from Hebbal, Bengaluru Urban."
2,100010006202400002,202400002,2024-09-20,48,6,1,2,6,19,2,,2024-09-18 09:51:03,2024-09-18 09:51:03,2024-09-18 14:51:03,13.145,77.428,"On 18-09-2024, complainant Rajesh Acharya from Jayanagar, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Prasad Kambli siphoned Rs.986,557 through multiple UPI transactions."
3,800010007202400003,202400003,2024-11-07,52,7,3,2,6,19,2,,2024-11-05 03:44:24,2024-11-05 07:44:24,2024-11-05 08:44:24,12.7813,77.4714,"On 05-11-2024, complainant Rajesh Kulkarni from Wilson Garden, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Sneha Prasad siphoned Rs.3,309,708 through multiple UPI transactions."
4,100020017202300004,202300001,2023-06-29,1431,17,1,2,6,16,2,,2023-06-28 07:33:48,2023-06-28 10:33:48,2023-06-28 08:33:48,13.0798,77.1967,"On 28-06-2023, complainant Surya Kumar from Malleswaram, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Jagadish Joshi siphoned Rs.3,422,961 through multiple UPI transactions."
5,300020014202300005,202300002,2023-07-27,1189,14,2,2,6,18,2,,2023-07-24 05:45:28,2023-07-24 06:45:28,2023-07-24 08:45:28,13.3175,77.1667,"Complainant Harish Joshi reported receiving a call from accused posing as bank official on 24-07-2023. Accused Umesh Angadi fraudulently obtained OTP and transferred Rs.391,488 from complainant's account. Cyber cell investigation initiated from Basavanagudi, Bengaluru Rural."
6,300010003202400006,202400004,2024-03-31,72,3,2,2,6,16,2,,2024-03-28 01:17:37,2024-03-28 04:17:37,2024-03-28 04:17:37,13.0051,77.4489,"Complainant Bharathi Siddi reported receiving a call from accused posing as bank official on 28-03-2024. Accused Vasantha Kumar fraudulently obtained OTP and transferred Rs.655,698 from complainant's account. Cyber cell investigation initiated from Bannerghatta Road, Bengaluru Urban."
7,300010010202400007,202400005,2024-05-03,805,10,2,2,6,19,1,,2024-05-02 01:55:04,2024-05-02 03:55:04,2024-05-02 13:55:04,12.8917,77.4638,"On 02-05-2024, complainant Rajeshwari Poojary from Marathahalli, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Manjunath Bagewadi siphoned Rs.1,296,902 through multiple UPI transactions."
8,100010010202400008,202400006,2024-07-13,1474,10,1,2,6,16,1,,2024-07-12 01:15:49,2024-07-12 03:15:49,2024-07-12 02:15:49,13.1375,77.4365,"Complainant Jagadish Lamani reported receiving a call from accused posing as bank official on 12-07-2024. Accused Yogesh Devi fraudulently obtained OTP and transferred Rs.332,106 from complainant's account. Cyber cell investigation initiated from JP Nagar, Bengaluru Urban."
9,300020016202300009,202300003,2023-09-23,1364,16,2,2,6,19,2,,2023-09-22 17:56:09,2023-09-22 18:56:09,2023-09-22 20:56:09,13.315,77.31,"Complainant Latha Yadav reported receiving a call from accused posing as bank official on 22-09-2023. Accused Manjunath Bagewadi fraudulently obtained OTP and transferred Rs.108,136 from complainant's account. Cyber cell investigation initiated from Banashankari, Bengaluru Rural."
10,100020017202300010,202300004,2023-06-10,1248,17,1,2,6,16,1,,2023-06-10 20:17:45,2023-06-10 20:17:45,2023-06-10 22:17:45,13.2749,77.1717,"Complainant Hanumanthappa Naikar reported receiving a call from accused posing as bank official on 10-06-2023. Accused Umesh Angadi fraudulently obtained OTP and transferred Rs.650,069 from complainant's account. Cyber cell investigation initiated from Wilson Garden, Bengaluru Rural."
11,100020015202300011,202300005,2023-10-17,1753,15,1,2,6,17,1,,2023-10-15 08:13:11,2023-10-15 12:13:11,2023-10-15 20:13:11,13.3599,77.2694,"On 15-10-2023, complainant Vasantha Prasad from K.R. Market, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Prasad Kambli siphoned Rs.3,403,562 through multiple UPI transactions."
12,100010009202400012,202400007,2024-04-01,40,9,1,2,6,17,1,,2024-03-29 09:59:18,2024-03-29 11:59:18,2024-03-29 11:59:18,13.0023,77.4251,"Complainant Rekha Yadav reported receiving a call from accused posing as bank official on 29-03-2024. Accused Radha Kumari fraudulently obtained OTP and transferred Rs.667,404 from complainant's account. Cyber cell investigation initiated from Hebbal, Bengaluru Urban."
13,100020018202300013,202300006,2023-03-02,154,18,1,2,6,19,2,,2023-02-28 06:33:51,2023-02-28 07:33:51,2023-02-28 09:33:51,13.1835,77.4908,"Complainant Nandini Desai reported receiving a call from accused posing as bank official on 28-02-2023. Accused Kavitha Acharya fraudulently obtained OTP and transferred Rs.709,862 from complainant's account. Cyber cell investigation initiated from BTM Layout, Bengaluru Rural."
14,100020017202400014,202400008,2024-12-23,111,17,1,2,6,18,1,,2024-12-21 22:44:23,2024-12-22 01:44:23,2024-12-22 05:44:23,13.3652,77.2379,"On 21-12-2024, complainant Pooja Savanur from Yelahanka, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Bharath Kattimani siphoned Rs.474,642 through multiple UPI transactions."
15,100020019202400015,202400009,2024-02-11,946,19,1,2,6,19,2,,2024-02-11 14:51:16,2024-02-11 18:51:16,2024-02-11 18:51:16,13.1197,77.3548,"On 11-02-2024, complainant Lakshmi Gupta from Bannerghatta Road, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Umesh Angadi siphoned Rs.1,289,619 through multiple UPI transactions."
16,100010004202300016,202300007,2023-11-21,1614,4,1,2,6,17,2,,2023-11-19 19:02:53,2023-11-19 19:02:53,2023-11-20 04:02:53,12.8117,77.6419,"Complainant Jagadish Gowda reported receiving a call from accused posing as bank official on 19-11-2023. Accused Yogesh Devi fraudulently obtained OTP and transferred Rs.70,096 from complainant's account. Cyber cell investigation initiated from K.R. Market, Bengaluru Urban."
17,100010008202400017,202400010,2024-07-11,1747,8,1,2,6,16,2,,2024-07-09 01:31:22,2024-07-09 01:31:22,2024-07-09 02:31:22,13.0347,77.7778,"Complainant Prasad Bai reported receiving a call from accused posing as bank official on 09-07-2024. Accused Shilpa Kattimani fraudulently obtained OTP and transferred Rs.141,896 from complainant's account. Cyber cell investigation initiated from Basavanagudi, Bengaluru Urban."
18,100010008202400018,202400011,2024-08-10,261,8,1,2,6,18,3,,2024-08-07 05:58:17,2024-08-07 05:58:17,2024-08-07 07:58:17,12.945,77.5298,"Complainant Krishna Nayak reported receiving a call from accused posing as bank official on 07-08-2024. Accused Sneha Prasad fraudulently obtained OTP and transferred Rs.503,244 from complainant's account. Cyber cell investigation initiated from Koramangala, Bengaluru Urban."
19,400020013202400019,202400012,2024-04-29,112,13,4,2,6,16,3,,2024-04-26 18:09:52,2024-04-26 18:09:52,2024-04-27 00:09:52,13.0279,77.4843,"On 26-04-2024, complainant Sagar Hiremath from Vijayanagar, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Yogesh Devi siphoned Rs.4,282,965 through multiple UPI transactions."
20,100010007202400020,202400013,2024-04-18,805,7,1,2,6,19,2,,2024-04-17 07:05:12,2024-04-17 07:05:12,2024-04-17 09:05:12,12.8528,77.7393,"Complainant Madhu Desai reported receiving a call from accused posing as bank official on 17-04-2024. Accused Vasantha Kumar fraudulently obtained OTP and transferred Rs.708,737 from complainant's account. Cyber cell investigation initiated from Wilson Garden, Bengaluru Urban."
21,100020015202300021,202300008,2023-03-21,31,15,1,2,6,16,3,,2023-03-20 09:26:46,2023-03-20 09:26:46,2023-03-20 10:26:46,13.1359,77.5448,"Complainant Nagesh Hiremath reported receiving a call from accused posing as bank official on 20-03-2023. Accused Manjunath Bagewadi fraudulently obtained OTP and transferred Rs.659,152 from complainant's account. Cyber cell investigation initiated from JP Nagar, Bengaluru Rural."
22,100010006202400022,202400014,2024-05-30,36,6,1,2,6,16,2,,2024-05-28 00:43:00,2024-05-28 03:43:00,2024-05-28 07:43:00,12.9186,77.4514,"Complainant Surya Joshi reported receiving a call from accused posing as bank official on 28-05-2024. Accused Shilpa Kattimani fraudulently obtained OTP and transferred Rs.792,280 from complainant's account. Cyber cell investigation initiated from Yelahanka, Bengaluru Urban."
23,100010003202400023,202400015,2024-02-03,1335,3,1,2,6,18,5,,2024-01-31 07:24:27,2024-01-31 10:24:27,2024-01-31 11:24:27,12.8107,77.7636,"Complainant Hanumanthappa Bagewadi reported receiving a call from accused posing as bank official on 31-01-2024. Accused Umesh Angadi fraudulently obtained OTP and transferred Rs.581,286 from complainant's account. Cyber cell investigation initiated from Whitefield, Bengaluru Urban."
24,100020015202300024,202300009,2023-06-24,107,15,1,2,6,19,1,,2023-06-24 16:52:47,2023-06-24 17:52:47,2023-06-24 22:52:47,13.3523,77.2978,"Complainant Parvathi Ganiger reported receiving a call from accused posing as bank official on 24-06-2023. Accused Umesh Angadi fraudulently obtained OTP and transferred Rs.305,274 from complainant's account. Cyber cell investigation initiated from HSR Layout, Bengaluru Rural."
25,800010007202300025,202300010,2023-02-16,37,7,3,2,6,18,1,,2023-02-15 12:34:33,2023-02-15 14:34:33,2023-02-15 22:34:33,12.8707,77.7144,"On 15-02-2023, complainant Asha Kulkarni from Majestic, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Umesh Angadi siphoned Rs.1,338,275 through multiple UPI transactions."
26,300020016202300026,202300011,2023-07-19,131,16,2,2,6,16,3,,2023-07-16 21:07:41,2023-07-17 01:07:41,2023-07-17 06:07:41,13.3573,77.3048,"On 16-07-2023, complainant Umesh Joshi from Sarjapur Road, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Ravi Rao siphoned Rs.1,581,280 through multiple UPI transactions."
27,100010004202400027,202400016,2024-02-16,76,4,1,2,6,17,4,3,2024-02-13 09:19:43,2024-02-13 12:19:43,2024-02-13 12:19:43,12.8102,77.6116,"Complainant Nagaraj Raju reported receiving a call from accused posing as bank official on 13-02-2024. Accused Jagadish Joshi fraudulently obtained OTP and transferred Rs.478,904 from complainant's account. Cyber cell investigation initiated from HSR Layout, Bengaluru Urban."
28,400020016202300028,202300012,2023-09-29,99,16,4,2,6,16,5,,2023-09-28 11:20:39,2023-09-28 11:20:39,2023-09-28 20:20:39,13.3454,77.3937,"Complainant Vidya Rao reported receiving a call from accused posing as bank official on 28-09-2023. Accused Prasad Kambli fraudulently obtained OTP and transferred Rs.330,656 from complainant's account. Cyber cell investigation initiated from Whitefield, Bengaluru Rural."
29,100020019202400029,202400017,2024-11-05,2037,19,1,2,6,16,2,,2024-11-02 22:10:23,2024-11-02 22:10:23,2024-11-03 07:10:23,13.0727,77.4437,"Complainant Suresh Meti reported receiving a call from accused posing as bank official on 02-11-2024. Accused Kamala Joshi fraudulently obtained OTP and transferred Rs.817,976 from complainant's account. Cyber cell investigation initiated from Marathahalli, Bengaluru Rural."
30,100020017202400030,202400018,2024-09-03,1840,17,1,2,6,18,4,4,2024-09-01 02:50:59,2024-09-01 06:50:59,2024-09-01 08:50:59,13.3382,77.3907,"On 01-09-2024, complainant Sagar Hiremath from Koramangala, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Basavaraj Gowda siphoned Rs.2,477,940 through multiple UPI transactions."
31,100020014202400031,202400019,2024-04-04,151,14,1,2,6,19,3,,2024-04-03 07:15:41,2024-04-03 09:15:41,2024-04-03 15:15:41,13.01,77.4034,"On 03-04-2024, complainant Siddaraju Hegde from Electronic City, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Sneha Prasad siphoned Rs.3,068,292 through multiple UPI transactions."
32,100010004202400032,202400020,2024-07-26,55,4,1,2,6,18,4,1,2024-07-24 23:24:13,2024-07-25 02:24:13,2024-07-25 07:24:13,12.8663,77.4011,"On 24-07-2024, complainant Shankar Desai from Marathahalli, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Radha Kumari siphoned Rs.3,337,831 through multiple UPI transactions."
33,100020017202400033,202400021,2024-04-01,1292,17,1,2,6,16,2,,2024-04-01 05:29:17,2024-04-01 08:29:17,2024-04-01 06:29:17,13.097,77.2682,"On 01-04-2024, complainant Indira Bai from Basavanagudi, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Ashok Kumari siphoned Rs.3,882,998 through multiple UPI transactions."
34,100020012202400034,202400022,2024-11-07,80,12,1,2,6,18,1,,2024-11-07 08:03:51,2024-11-07 11:03:51,2024-11-07 19:03:51,13.0681,77.2787,"Complainant Gopal Gupta reported receiving a call from accused posing as bank official on 07-11-2024. Accused Jagadish Joshi fraudulently obtained OTP and transferred Rs.354,572 from complainant's account. Cyber cell investigation initiated from K.R. Market, Bengaluru Rural."
35,400010006202300035,202300013,2023-07-17,66,6,4,2,6,18,4,3,2023-07-15 03:04:49,2023-07-15 06:04:49,2023-07-15 14:04:49,13.1072,77.444,"Complainant Mahesh Joshi reported receiving a call from accused posing as bank official on 15-07-2023. Accused Kamala Joshi fraudulently obtained OTP and transferred Rs.587,252 from complainant's account. Cyber cell investigation initiated from Electronic City, Bengaluru Urban."
36,100010009202400036,202400023,2024-12-29,55,9,1,2,6,16,2,,2024-12-29 13:18:01,2024-12-29 15:18:01,2024-12-29 15:18:01,12.9878,77.4658,"Complainant Kamala Gowda reported receiving a call from accused posing as bank official on 29-12-2024. Accused Manjunath Bagewadi fraudulently obtained OTP and transferred Rs.304,074 from complainant's account. Cyber cell investigation initiated from Yeshwanthpur, Bengaluru Urban."
37,800010007202300037,202300014,2023-10-26,2056,7,3,2,6,17,2,,2023-10-25 20:45:05,2023-10-25 20:45:05,2023-10-26 01:45:05,12.8032,77.746,"On 25-10-2023, complainant Sneha Kumar from K.R. Market, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Naveen Meti siphoned Rs.3,326,879 through multiple UPI transactions."
38,100020018202300038,202300015,2023-12-02,1346,18,1,2,6,18,4,6,2023-11-29 12:32:40,2023-11-29 14:32:40,2023-11-29 13:32:40,13.3394,77.5019,"On 29-11-2023, complainant Pushpa Poojary from Bannerghatta Road, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Prasad Kambli siphoned Rs.1,613,534 through multiple UPI transactions."
39,100020019202300039,202300016,2023-06-22,142,19,1,2,6,16,2,,2023-06-22 07:03:30,2023-06-22 10:03:30,2023-06-22 12:03:30,13.2608,77.4803,"Complainant Shivakumar Siddi reported receiving a call from accused posing as bank official on 22-06-2023. Accused Priya Kattimani fraudulently obtained OTP and transferred Rs.88,708 from complainant's account. Cyber cell investigation initiated from Peenya, Bengaluru Rural."
