ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Surya Bhat,15,19,1,2,1
2,2,Rajesh Acharya,41,14,1,4,1
3,3,Rajesh Kulkarni,34,2,1,4,1
4,3,Chetan Gupta,27,12,5,1,1
5,4,Surya Kumar,29,15,3,2,1
6,5,Harish Joshi,32,5,1,1,1
7,6,Bharathi Siddi,15,6,1,3,2
8,7,Rajeshwari Poojary,52,1,1,2,2
9,8,Jagadish Lamani,32,14,2,1,1
10,9,Latha Yadav,42,16,3,2,2
11,10,Hanumanthappa Naikar,15,12,1,3,1
12,10,Suresh Swamy,18,11,3,1,1
13,11,Vasantha Prasad,15,1,1,2,3
14,11,Rajesh Bhat,22,10,1,2,1
15,12,Rekha Yadav,16,18,1,3,2
16,13,Nandini Desai,34,13,1,3,2
17,13,Padma Kumar,33,15,1,2,2
18,14,Pooja Savanur,34,1,5,1,2
19,15,Lakshmi Gupta,40,8,3,2,2
20,16,Jagadish Gowda,15,19,2,1,1
21,17,Prasad Bai,29,3,4,1,1
22,18,Krishna Nayak,15,10,1,2,1
23,19,Sagar Hiremath,15,19,1,2,1
24,20,Madhu Desai,21,10,3,5,1
25,21,Nagesh Hiremath,34,19,4,3,1
26,21,Jagadish Hegde,22,1,1,4,1
27,22,Surya Joshi,38,1,1,2,1
28,23,Hanumanthappa Bagewadi,24,20,1,1,1
29,24,Parvathi Ganiger,27,12,1,2,2
30,24,Nandini Kambli,28,13,3,2,2
31,25,Asha Kulkarni,24,6,3,3,2
32,26,Umesh Joshi,32,16,1,1,1
33,27,Nagaraj Raju,17,14,3,1,1
34,28,Vidya Rao,31,3,1,3,2
35,29,Suresh Meti,28,18,1,4,1
36,30,Sagar Hiremath,22,19,1,3,1
37,31,Siddaraju Hegde,53,9,1,2,1
38,31,Anand Hegde,23,14,4,3,1
39,32,Shankar Desai,35,3,1,4,1
40,33,Indira Bai,45,15,3,2,2
41,34,Gopal Gupta,27,15,1,2,1
42,35,Mahesh Joshi,49,3,2,2,1
43,36,Kamala Gowda,20,10,1,2,2
44,37,Sneha Kumar,57,19,1,1,2
45,38,Pushpa Poojary,45,2,2,3,2
46,39,Shivakumar Siddi,65,19,3,2,1
47,40,Chandrika Kumari,21,11,1,2,2
48,41,Shivanand Bangera,39,10,1,4,3
49,41,Siddaraju Shankar,54,4,1,2,1
50,42,Nagesh Swamy,39,3,1,1,1
51,43,Shobha Raju,38,7,1,4,2
52,44,Chandrashekar Naik,17,12,1,1,1
53,44,Gopal Joshi,37,11,1,3,1
54,45,Priya Hosamani,25,15,1,2,2
55,45,Kamala Swamy,30,5,1,2,2
56,46,Madhu Devi,30,8,1,3,1
57,46,Shobha Reddy,32,1,7,2,2
58,47,Asha Kulkarni,24,6,3,3,2
59,48,Ganesh Raju,41,5,1,3,1
60,48,Shivakumar Ganiger,15,19,3,3,1
61,49,Padma Desai,41,11,1,3,2
62,50,Hanumanthappa Siddi,17,11,5,2,1
63,50,Vishwanath Ganiger,39,12,1,3,1
64,51,Ganesh Hosamani,26,16,1,1,1
65,51,Hanumanthappa Salian,33,13,2,2,1
66,52,Chetan Lamani,44,19,1,5,1
67,52,Naveen Siddi,49,19,2,2,1
68,53,Renuka Gupta,26,10,1,3,2
69,54,Manjunath Bhat,24,19,5,1,1
70,55,Arun Kumari,23,4,4,1,1
71,56,Swathi Shankar,32,14,1,1,2
72,57,Kamala Prasad,34,15,1,2,2
73,58,Manoj Patil,34,8,1,3,1
74,58,Mohan Poojary,30,15,1,2,1
75,59,Santosh Gowda,38,8,1,2,1
76,60,Nagesh Swamy,39,3,1,1,1
77,60,Ramesh Acharya,36,6,1,5,1
78,61,Rashmi Poojary,38,6,1,5,2
79,62,Ganesh Siddi,42,7,1,2,1
80,63,Jyothi Hegde,43,6,4,1,2
81,63,Mangala Joshi,42,7,3,1,2
82,64,Shankar Poojary,21,20,4,2,1
83,64,Jyothi Kumar,40,12,5,2,2
84,65,Divya Hiremath,31,13,1,1,2
85,66,Nagaraj Swamy,24,3,1,1,1
86,67,Sneha Lamani,45,14,1,3,2
87,68,Manjunath Rao,33,16,1,1,1
88,69,Kamala Gowda,20,10,1,2,2
89,70,Jyothi Gowda,37,9,4,2,2
90,71,Bharathi Savanur,26,4,1,1,2
91,71,Mahesh Devi,27,1,1,2,1
92,72,Chandrashekar Murthy,34,12,1,4,1
93,73,Jagadish Swamy,15,14,5,4,1
94,74,Asha Hegde,30,2,1,2,2
95,75,Kamala Gowda,20,10,1,2,2
96,76,Vishwanath Kumar,38,17,1,1,1
97,77,Chandrika Kumari,21,11,1,2,2
98,77,Priya Siddi,45,5,1,5,2
99,78,Gopal Lamani,39,11,1,3,1
100,79,Nagesh Hegde,37,9,1,2,1
101,80,Ashok Naikar,26,7,1,1,1
102,81,Rajesh Acharya,41,14,1,4,1
103,82,Kamala Gowda,20,10,1,2,2
104,82,Pushpa Bhat,65,14,1,2,2
105,83,Vidya Savanur,19,11,1,4,2
106,84,Venkatesh Prasad,50,4,2,4,1
107,84,Shivanand Savanur,15,19,1,2,1
108,85,Latha Savanur,15,4,3,2,2
109,86,Sneha Gupta,36,3,1,4,2
110,87,Lakshmi Hosamani,15,8,1,5,2
111,87,Padma Angadi,53,4,1,4,2
