EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,7,6,4,KG2019666564,Vidya Prasad,1986-05-14,2,6,0,2008-08-25
2,1,7,13,11,KG2022764545,Shankar Shetty,1980-12-24,1,8,0,2008-08-31
3,1,6,13,1,KG2017280747,Venkatesh Bhat,1972-12-20,1,6,0,2009-09-25
4,1,10,11,11,KG2012781178,Harish Bai,1995-03-08,1,5,0,2017-02-02
5,1,9,13,7,KG2020095326,Srinivas Ganiger,1972-02-11,1,3,0,2007-06-18
6,1,9,12,7,KG2013580100,Jagadish Savanur,1970-07-08,1,2,0,2020-04-04
7,1,7,13,6,KG2019003403,Girish Shetty,1981-10-25,1,3,0,2016-03-24
8,1,4,13,5,KG2011160264,Ambika Bangera,1986-10-10,2,3,0,2022-02-07
9,1,3,12,8,KG2012060739,Nagesh Acharya,1980-10-21,1,2,0,2017-09-22
10,1,10,13,9,KG2022173149,Srinivas Naikar,1981-11-21,1,7,0,2016-11-01
11,1,6,13,7,KG2021473418,Shilpa Bagewadi,1975-06-06,2,4,0,2010-07-24
12,1,3,12,4,KG2006240063,Rajesh Shankar,1973-01-09,1,6,0,2005-09-15
13,1,6,10,8,KG2020254802,Srinivas Poojary,1991-03-21,1,7,0,2023-02-11
14,1,4,13,6,KG2008063557,Jagadish Reddy,1988-01-23,1,6,0,2021-05-02
15,1,4,10,4,KG2010292076,Srinivas Angadi,1990-10-02,1,2,0,2010-08-09
16,1,4,9,9,KG2010426157,Kavitha Gupta,1991-10-14,2,4,0,2015-10-19
17,1,3,10,1,KG2014443556,Nandini Lamani,1994-12-06,2,8,0,2019-11-06
18,1,7,10,1,KG2015059943,Kumaraswamy Reddy,1972-04-01,1,8,0,2018-02-07
19,1,5,9,9,KG2007708012,Naveen Shankar,1980-07-20,1,2,0,2014-01-21
20,1,6,12,1,KG2021331738,Vishwanath Salian,1981-09-12,1,6,0,2009-08-01
21,1,9,9,11,KG2005480548,Siddaraju Shankar,1997-11-12,1,2,0,2017-08-18
22,1,6,12,3,KG2016298831,Sunitha Gupta,1977-01-28,2,5,0,2014-10-30
23,1,3,13,9,KG2009277313,Darshan Devi,1975-03-07,1,3,0,2007-05-27
24,1,6,13,4,KG2020263320,Harish Ganiger,1972-04-12,1,7,0,2007-01-27
25,1,3,9,3,KG2019578479,Harish Shetty,1989-03-09,1,1,0,2017-07-31
26,1,5,12,6,KG2009043861,Ramesh Angadi,1983-10-30,1,1,0,2013-03-07
27,1,6,13,11,KG2018650811,Nandish Kambli,1976-12-07,1,3,1,2010-04-24
28,1,5,13,1,KG2012279767,Chandrashekar Kattimani,1977-02-21,1,2,0,2022-08-30
29,1,3,13,4,KG2014860395,Jagadish Joshi,1980-03-17,1,1,0,2010-01-01
30,1,9,10,2,KG2021419094,Pooja Joshi,2000-06-25,2,6,0,2017-01-10
31,1,4,13,5,KG2008625551,Harish Gowda,1989-06-29,1,6,0,2012-10-02
32,1,4,11,10,KG2005545176,Venkatesh Angadi,1994-02-25,1,4,0,2020-05-28
33,1,4,8,6,KG2014531757,Darshan Kumari,1983-11-16,1,7,0,2019-12-17
34,1,7,12,4,KG2014425801,Prasad Patil,1994-07-31,1,5,0,2005-01-04
35,1,9,13,10,KG2019708447,Jagadish Bagewadi,1979-08-03,1,8,0,2016-06-19
36,1,5,13,5,KG2007858180,Krishna Kulkarni,1980-07-15,1,5,0,2020-02-03
37,1,6,9,1,KG2019434573,Ashok Shankar,1998-04-02,1,4,0,2017-11-29
38,1,9,12,4,KG2008816233,Chetan Kumar,1989-01-26,1,3,0,2009-11-28
39,1,10,9,4,KG2009840347,Geetha Lamani,1990-11-04,2,6,0,2019-12-22
40,1,10,12,12,KG2019940791,Rashmi Kambli,1977-02-20,2,8,0,2021-09-06
41,1,6,13,5,KG2012287937,Sagar Meti,1989-09-24,1,5,0,2006-09-27
42,1,8,10,9,KG2017727660,Ramesh Yadav,1976-11-08,1,4,0,2020-11-04
43,1,9,10,8,KG2017948792,Mahesh Kattimani,1996-03-14,1,1,0,2020-08-07
44,1,9,12,6,KG2022783827,Prasad Kattimani,1994-07-01,1,4,0,2022-12-10
45,1,7,11,1,KG2010881335,Darshan Hiremath,1990-12-19,1,1,0,2007-11-12
46,1,3,9,7,KG2006272794,Jagadish Patil,1987-01-03,1,4,0,2012-05-05
47,1,8,13,7,KG2007493153,Vishwanath Raju,1970-11-14,1,1,1,2021-10-20
48,1,8,10,2,KG2005995741,Gopal Gowda,1981-02-03,1,1,0,2009-06-22
49,1,6,9,11,KG2013804151,Mahesh Lamani,1986-07-19,1,2,0,2008-10-06
50,1,5,7,2,KG2017415923,Basavaraj Poojary,1978-11-24,1,4,0,2006-09-15
51,1,7,13,10,KG2016558624,Hanumanthappa Gowda,1989-03-20,1,6,0,2019-11-03
52,1,8,9,7,KG2016666460,Asha Angadi,1990-08-16,2,3,0,2020-11-12
53,1,7,12,9,KG2013337961,Jagadish Angadi,1981-01-05,1,5,0,2006-12-11
54,1,6,13,10,KG2005518318,Prasad Kulkarni,1984-07-31,1,8,0,2009-01-29
55,1,7,10,10,KG2005541723,Vinay Kambli,1978-07-28,1,4,0,2006-12-03
56,1,10,12,4,KG2019831451,Gopal Meti,1970-10-10,1,5,0,2007-02-02
57,1,6,10,10,KG2016446174,Nagaraj Savanur,1994-09-09,1,6,0,2012-06-02
58,1,7,10,4,KG2008778968,Kiran Bhat,1994-01-14,1,3,0,2022-02-04
59,1,10,10,10,KG2014105410,Saraswathi Bangera,1978-09-16,2,4,0,2011-08-24
60,1,7,9,9,KG2022306328,Venkatesh Reddy,1975-08-31,1,8,0,2019-04-23
61,1,3,12,8,KG2006264743,Chandrashekar Patil,1991-06-07,1,2,0,2007-07-24
62,1,4,12,11,KG2014089319,Ramesh Poojary,1981-02-18,1,7,0,2007-08-29
63,1,6,13,7,KG2018320215,Umesh Acharya,1995-07-05,1,1,0,2018-12-06
64,1,4,8,4,KG2010251517,Harish Hegde,1977-10-18,1,2,0,2017-05-19
65,1,9,12,10,KG2014741297,Venkatesh Yadav,1982-09-07,1,8,0,2020-10-07
66,1,6,8,11,KG2008571016,Kiran Angadi,1980-02-01,1,3,0,2019-07-12
67,1,5,9,3,KG2014460486,Shankar Poojary,1975-07-31,1,5,0,2015-07-07
68,1,7,12,8,KG2018770215,Shankar Gowda,1984-06-16,1,5,0,2018-07-17
69,1,6,7,10,KG2006800178,Suresh Prasad,1977-11-10,1,8,0,2015-07-22
70,1,5,5,7,KG2020364864,Shivanand Hegde,1988-04-26,1,6,0,2012-06-23
71,1,5,10,12,KG2022038480,Darshan Hiremath,1990-05-27,1,6,0,2006-12-23
72,1,4,7,7,KG2019433322,Savitha Siddi,1972-06-07,2,6,0,2009-03-17
73,1,10,12,1,KG2014459399,Nagaraj Bai,1991-09-29,1,1,1,2007-09-22
74,1,6,13,5,KG2007235616,Nagaraj Kattimani,1975-02-02,1,2,0,2015-05-09
75,1,5,12,12,KG2018875272,Anil Prasad,1991-08-24,1,4,0,2015-08-05
76,1,5,11,10,KG2013810209,Srinivas Shankar,1988-08-12,1,5,0,2012-08-16
77,1,7,13,10,KG2009468239,Darshan Meti,1994-02-28,1,6,0,2015-11-12
78,2,18,12,6,KG2017244908,Deepa Poojary,1988-06-05,2,6,0,2005-12-24
79,2,18,11,11,KG2020038818,Gopal Rao,1975-08-31,1,6,0,2016-04-07
80,2,19,9,8,KG2009078464,Ramesh Kattimani,1991-01-23,1,5,0,2022-07-13
81,2,18,12,6,KG2015657247,Yashodha Hosamani,1991-11-21,2,1,0,2017-02-19
82,2,15,12,5,KG2008797306,Kavitha Angadi,1998-06-06,2,2,0,2020-10-15
83,2,16,8,1,KG2016393050,Manjunath Murthy,1989-04-27,1,4,0,2008-04-07
84,2,14,10,2,KG2020957171,Prasad Gupta,1996-02-28,1,4,0,2008-03-18
85,2,16,12,11,KG2022165650,Jagadish Murthy,1973-04-25,1,6,1,2014-11-28
86,2,16,12,7,KG2011403381,Jagadish Acharya,1991-09-04,1,4,0,2007-05-24
87,2,17,12,12,KG2013008492,Darshan Hiremath,1995-05-22,1,1,0,2020-05-20
88,2,19,13,5,KG2016229643,Sachin Bangera,1998-07-23,1,5,0,2009-04-07
89,2,14,12,11,KG2006607728,Basavaraj Bagewadi,1986-05-14,1,3,0,2021-06-05
90,2,16,10,7,KG2016556640,Srinivas Siddi,1992-07-05,1,3,0,2011-02-11
91,2,19,7,5,KG2019078958,Chandrashekar Kumari,1976-04-25,1,4,0,2021-12-01
92,2,18,7,9,KG2013562637,Santosh Kumar,1975-07-18,1,6,0,2015-03-15
93,2,16,12,11,KG2020026241,Asha Yadav,1997-10-16,2,6,0,2017-08-05
94,2,15,12,11,KG2008146567,Renuka Kattimani,1972-01-13,2,5,1,2005-11-01
95,2,13,9,9,KG2022439487,Jagadish Desai,1996-05-06,1,3,0,2021-08-25
96,2,13,13,10,KG2016227824,Vinay Gowda,1989-11-21,1,4,0,2014-12-22
97,2,13,6,6,KG2006417480,Gopal Joshi,1982-05-18,1,2,0,2009-04-04
98,2,19,9,4,KG2006825014,Shankar Naik,1984-12-17,1,3,0,2010-06-19
99,2,15,9,9,KG2015811985,Mahesh Yadav,1976-08-14,1,1,0,2022-09-09
100,2,14,6,9,KG2005138206,Naveen Kumari,1970-09-01,1,4,0,2013-01-13
101,2,12,10,1,KG2008781887,Vishwanath Savanur,1972-11-07,1,8,0,2015-09-07
102,2,13,12,4,KG2014480293,Meena Savanur,1998-11-10,2,1,1,2005-09-13
103,2,18,11,2,KG2007337759,Umesh Shankar,1997-04-15,1,2,0,2008-04-30
104,2,17,11,10,KG2018103997,Jagadish Ganiger,1975-02-18,1,4,0,2019-09-08
105,2,15,11,8,KG2015447495,Surya Devi,1984-01-08,1,5,0,2019-12-02
106,2,14,13,8,KG2018101256,Prakash Hegde,1986-09-19,1,3,0,2023-03-18
107,2,17,13,7,KG2006301602,Darshan Angadi,1996-12-07,1,6,0,2012-01-04
108,2,15,10,8,KG2022385416,Arun Joshi,1975-02-26,1,5,0,2022-02-08
109,2,18,13,10,KG2005638578,Gopal Kambli,1999-07-05,1,5,0,2020-07-21
110,2,16,13,5,KG2010912118,Mangala Kumar,1976-06-05,2,7,0,2017-09-14
111,2,12,9,9,KG2015165056,Vishwanath Lamani,1986-08-07,1,6,0,2011-12-28
112,2,13,13,3,KG2007285321,Mohan Reddy,1989-11-16,1,7,0,2019-11-06
113,2,19,11,4,KG2018116277,Manoj Joshi,1982-09-15,1,8,0,2020-03-18
114,2,16,9,7,KG2011316062,Rekha Kumar,1979-06-23,2,3,0,2022-03-19
115,2,16,10,1,KG2009398677,Girish Patil,1993-11-21,1,4,0,2020-10-13
116,2,17,9,12,KG2007903988,Suresh Lamani,1984-01-17,1,7,0,2017-11-30
117,2,18,10,7,KG2019872443,Siddaraju Shetty,2000-12-07,1,2,0,2013-02-12
118,2,13,10,10,KG2014782034,Prakash Hiremath,1985-03-25,1,6,0,2009-12-21
119,2,13,12,2,KG2016762713,Kiran Joshi,1998-12-14,1,3,0,2023-04-13
120,2,14,10,3,KG2010997503,Bharath Shankar,1998-03-03,1,8,0,2016-01-31
121,2,19,13,10,KG2015158291,Mohan Bhat,1989-09-23,1,8,0,2006-07-14
122,2,16,13,10,KG2014484173,Madhu Shankar,1990-04-10,1,1,0,2005-11-05
123,2,16,9,2,KG2019608520,Madhu Hosamani,1994-11-12,1,1,0,2022-10-05
124,2,15,10,8,KG2008850361,Manjunath Bagewadi,1985-05-28,1,2,0,2021-01-08
125,2,14,9,12,KG2021639428,Umesh Savanur,1977-02-13,1,6,0,2013-03-01
126,2,18,11,6,KG2007345706,Manjunath Kulkarni,1974-03-29,1,7,0,2017-07-07
127,2,14,10,10,KG2017135216,Shivakumar Acharya,1996-09-10,1,2,0,2020-11-24
128,2,18,12,6,KG2007677407,Darshan Savanur,2000-01-28,1,6,0,2014-07-01
129,2,16,10,4,KG2011237548,Nandish Meti,1976-03-03,1,2,0,2008-06-23
130,2,13,12,9,KG2015918965,Saraswathi Gowda,1997-09-21,2,7,0,2007-12-10
131,2,14,13,10,KG2006430817,Ganesh Bagewadi,1986-05-05,1,4,0,2020-03-03
132,2,16,13,8,KG2020947886,Deepak Acharya,1978-09-14,1,8,0,2013-04-02
133,2,16,13,9,KG2009915409,Ganesh Nayak,1981-03-20,1,8,0,2006-03-04
134,2,13,13,9,KG2010286043,Anitha Hegde,1990-02-26,2,3,0,2016-07-07
135,2,13,8,4,KG2018055844,Shivakumar Naik,1987-10-14,1,6,0,2016-04-05
136,2,13,11,1,KG2009144284,Arun Kulkarni,1971-09-20,1,8,0,2011-06-09
137,2,14,13,8,KG2005268356,Rajesh Hegde,1979-09-04,1,7,0,2008-05-09
138,2,16,10,2,KG2007116243,Vishwanath Lamani,1992-06-03,1,1,0,2018-05-21
139,2,15,13,5,KG2012598385,Mohan Joshi,1988-09-08,1,2,0,2009-03-15
140,2,17,9,9,KG2005409421,Madhu Kambli,1991-02-02,1,7,1,2005-12-23
141,2,16,13,6,KG2008808978,Shivakumar Gupta,1996-02-07,1,6,0,2021-06-28
142,2,17,12,11,KG2020662424,Nandish Lamani,1978-03-06,1,3,0,2023-03-15
143,2,19,9,4,KG2015978711,Kiran Gowda,1983-11-29,1,7,1,2016-07-24
144,2,19,10,11,KG2015286489,Shivakumar Reddy,1975-08-02,1,6,0,2022-12-06
145,2,18,13,7,KG2020385192,Naveen Meti,1993-04-17,1,2,0,2010-12-25
146,2,13,11,3,KG2007343849,Siddaraju Devi,1999-08-25,1,5,0,2011-08-19
147,2,18,10,8,KG2018287893,Venkatesh Joshi,1998-09-08,1,1,0,2022-10-02
148,2,18,11,12,KG2019036490,Suresh Rao,1975-08-31,1,4,0,2006-07-05
149,2,17,11,10,KG2016390085,Ramesh Bagewadi,1989-11-30,1,2,0,2022-02-12
150,2,17,11,11,KG2010523286,Manoj Naik,1993-03-23,1,2,0,2013-09-06
151,2,16,13,4,KG2011128595,Anitha Meti,1976-02-02,2,8,0,2006-08-30
152,2,19,5,11,KG2007576714,Pushpa Joshi,1994-04-27,2,5,0,2011-07-07
153,2,14,13,9,KG2012828767,Kiran Bai,1992-02-29,1,6,0,2005-08-04
154,2,17,12,9,KG2014417501,Prakash Shankar,1991-06-22,1,7,0,2016-10-16
155,2,13,9,6,KG2021361250,Umesh Lamani,1975-10-04,1,3,0,2022-07-02
156,2,14,11,1,KG2014172656,Saraswathi Rao,1977-04-07,2,4,0,2012-03-28
157,2,16,13,5,KG2009655384,Nagaraj Prasad,1983-08-02,1,2,0,2018-10-13
158,2,14,12,10,KG2015883457,Darshan Bangera,1995-04-14,1,1,0,2005-12-04
159,2,16,13,10,KG2020932181,Krishna Naik,1998-02-18,1,5,0,2017-03-28
160,2,16,12,11,KG2006165760,Jagadish Shankar,1989-09-20,1,8,0,2014-04-28
161,2,17,12,6,KG2017137119,Pushpa Joshi,1986-08-15,2,2,0,2016-07-20
162,2,19,9,8,KG2014991308,Arun Reddy,1987-03-26,1,7,0,2018-10-21
163,2,14,13,10,KG2020539729,Kiran Shetty,1990-12-10,1,5,0,2016-03-09
164,2,13,8,9,KG2016051022,Deepak Swamy,1972-04-08,1,8,0,2011-04-24
165,3,28,10,1,KG2013762848,Rashmi Bai,1986-05-29,2,7,0,2022-02-18
166,3,27,9,9,KG2007405117,Nagaraj Murthy,1992-08-14,1,5,0,2015-02-07
167,3,30,13,2,KG2016833511,Arun Hiremath,1985-03-18,1,6,0,2017-07-06
168,3,24,12,7,KG2009748256,Venkatesh Gowda,1984-12-09,1,8,0,2023-01-13
169,3,23,12,9,KG2010412043,Mohan Bhat,1997-08-27,1,5,0,2021-08-01
170,3,29,13,9,KG2020855375,Hanumanthappa Acharya,1970-09-30,1,6,0,2013-04-06
