VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Surya Bhat,15,1,0
2,2,Rajesh Acharya,41,1,0
3,3,Rajesh Kulkarni,34,1,0
4,3,Swathi Devi,45,2,0
5,4,Surya Kumar,29,1,0
6,4,Kiran Bai,22,1,0
7,5,Harish Joshi,32,1,0
8,6,Bharathi Siddi,15,2,0
9,6,Mahesh Naik,36,1,0
10,7,Rajeshwari Poojary,52,2,0
11,7,Srinivas Meti,31,1,0
12,8,Jagadish Lamani,32,1,0
13,8,Bharathi Bagewadi,35,2,0
14,8,Ganesh Hosamani,35,1,0
15,9,Latha Yadav,42,2,0
16,9,Sunitha Salian,31,2,0
17,10,Hanumanthappa Naikar,15,1,0
18,10,Prasad Hegde,29,1,1
19,10,Sharada Ganiger,31,2,0
20,11,Vasantha Prasad,15,3,0
21,12,Rekha Yadav,16,2,0
22,12,Priya Lamani,42,2,0
23,13,Nandini Desai,34,2,0
24,14,Pooja Savanur,34,2,0
25,15,Lakshmi Gupta,40,2,0
26,16,Jagadish Gowda,15,1,0
27,17,Prasad Bai,29,1,0
28,17,Rajeshwari Meti,32,2,0
29,18,Krishna Nayak,15,1,0
30,19,Sagar Hiremath,15,1,0
31,19,Savitha Savanur,25,2,0
32,20,Madhu Desai,21,1,0
33,21,Nagesh Hiremath,34,1,0
34,22,Surya Joshi,38,1,0
35,23,Hanumanthappa Bagewadi,24,1,0
36,23,Pavan Rao,22,1,0
37,24,Parvathi Ganiger,27,2,0
38,24,Mohan Ganiger,18,1,0
39,25,Asha Kulkarni,24,2,1
40,25,Pooja Devi,39,2,0
41,25,Mahesh Meti,28,1,0
42,26,Umesh Joshi,32,1,0
43,27,Nagaraj Raju,17,1,0
44,28,Vidya Rao,31,2,1
45,28,Kumaraswamy Reddy,47,3,0
46,29,Suresh Meti,28,1,0
47,29,Shankar Hosamani,15,1,0
48,29,Sachin Prasad,30,1,0
49,30,Sagar Hiremath,22,1,0
50,31,Siddaraju Hegde,53,1,0
51,31,Savitha Shankar,35,2,0
52,32,Shankar Desai,35,1,0
53,33,Indira Bai,45,2,0
