cdr_id,caller_name,receiver_name,call_date,call_duration_seconds,tower_district_id,linked_accused_id,linked_case_id
1,Darshan Patil,Surya Angadi,2023-09-01,44,23,,
2,Manjunath Angadi,Girish Siddi,2024-03-09,382,25,,
3,Ambika Nayak,Vidya Salian,2023-11-09,331,24,4451,1779
4,Anand Savanur,Nagesh Kumari,2024-09-02,37,13,807,336
5,Ganesh Kattimani,Meena Naikar,2024-04-11,483,24,5523,2199
6,Meena Gupta,Venkatesh Reddy,2023-01-23,132,23,,
7,Gopal Naik,Vishwanath Murthy,2023-03-14,496,10,2836,1137
8,Nagesh Reddy,Shivakumar Bangera,2023-01-10,241,30,,
9,Darshan Patil,Shivakumar Kumari,2024-03-06,430,30,8674,3547
10,Basavaraj Bangera,Girish Gupta,2023-11-17,450,14,,
11,Yashodha Naik,Gopal Murthy,2023-10-20,108,28,1199,481
12,Pooja Devi,Swathi Kumar,2023-11-15,551,28,,
13,Naveen Desai,Umesh Desai,2024-12-14,189,25,,
14,Jyothi Gowda,Shivakumar Joshi,2023-07-30,68,7,,
15,Vidya Nayak,Vinay Shetty,2023-01-17,370,18,,
16,Sagar Kattimani,Sneha Lamani,2024-10-07,204,11,,
17,Ganesh Murthy,Girish Bagewadi,2023-03-07,323,24,4827,1919
18,Vasantha Bai,Ashok Kumari,2024-05-16,514,1,7446,2959
19,Suma Meti,Nagesh Kambli,2023-10-26,211,27,4976,1976
20,Yogesh Hegde,Manjunath Shetty,2023-07-22,308,8,,
21,Arun Bangera,Shilpa Bagewadi,2023-06-15,437,16,,
22,Krishna Lamani,Harish Kumari,2024-11-11,437,21,599,252
23,Girish Joshi,Arun Reddy,2023-08-12,483,14,,
24,Yogesh Yadav,Venkatesh Desai,2024-03-13,303,20,,
25,Arun Bangera,Yashodha Swamy,2023-10-01,494,21,,
26,Suresh Nayak,Shilpa Kattimani,2024-03-02,240,21,371,165
27,Ganesh Shankar,Pavan Rao,2024-05-27,461,13,,
28,Lakshman Shetty,Rekha Murthy,2023-02-04,539,2,2201,881
29,Santosh Siddi,Divya Raju,2024-12-06,542,14,,
30,Chetan Swamy,Santosh Nayak,2024-01-12,487,12,,
31,Ramesh Desai,Krishna Kambli,2024-06-02,392,19,,
32,Deepa Kattimani,Jagadish Kumari,2024-06-13,241,1,4493,1794
33,Bharath Angadi,Madhu Lamani,2024-02-12,175,16,,
34,Madhu Kumar,Srinivas Nayak,2023-05-27,67,17,21600,9940
35,Basavaraj Bangera,Mahesh Ganiger,2023-11-24,459,10,5670,2259
36,Nandish Angadi,Girish Gupta,2023-02-22,95,4,,
37,Rajesh Kambli,Jagadish Kattimani,2024-11-13,292,10,,
38,Arun Hegde,Arun Yadav,2023-10-02,589,7,1646,655
39,Chandrika Angadi,Nagesh Ganiger,2023-12-15,284,21,6520,2589
40,Prakash Murthy,Rajesh Poojary,2024-01-20,587,21,11659,4992
41,Kumaraswamy Raju,Parvathi Yadav,2023-05-16,386,5,,
42,Bharath Prasad,Asha Yadav,2023-06-13,35,30,13291,5802
43,Renuka Gupta,Radha Bagewadi,2023-05-25,506,21,459,197
44,Saraswathi Hosamani,Vishwanath Acharya,2023-10-01,167,24,4158,1664
45,Arun Siddi,Basavaraj Lamani,2023-10-06,545,12,,
46,Renuka Lamani,Meena Kulkarni,2023-03-05,484,14,17294,7820
47,Bharath Meti,Harish Naik,2024-10-05,113,9,,
48,Shilpa Kattimani,Deepak Kumari,2023-10-05,575,18,,
49,Basavaraj Bangera,Hanumanthappa Shankar,2023-04-28,315,15,,
50,Saraswathi Shankar,Ashok Naikar,2023-05-14,181,2,,
51,Priya Devi,Meena Hiremath,2024-10-08,327,6,1435,575
52,Priya Kattimani,Santosh Nayak,2024-11-01,566,2,69,29
53,Chandrika Desai,Arun Shankar,2023-02-25,334,1,,
54,Suma Ganiger,Ambika Nayak,2024-03-02,289,29,1180,473
55,Mangala Lamani,Prasad Salian,2023-06-08,424,10,2650,1064
56,Geetha Bai,Anand Naikar,2023-09-24,126,29,5936,2367
57,Chetan Lamani,Indira Yadav,2023-11-18,131,20,,
58,Chandrika Bangera,Savitha Gowda,2023-01-29,322,16,21410,9844
59,Jagadish Yadav,Girish Kumar,2024-02-15,67,13,3943,1572
60,Harish Naik,Sunitha Bhat,2023-03-18,481,1,,
61,Sharada Desai,Harish Kumari,2024-05-29,301,7,1610,643
62,Vidya Raju,Manjunath Bai,2024-02-20,178,3,6631,2632
63,Vishwanath Bagewadi,Naveen Angadi,2024-10-21,371,30,,
64,Madhu Kulkarni,Anand Savanur,2023-08-17,435,8,3437,1371
65,Santosh Nayak,Mahesh Gupta,2024-11-15,538,3,6492,2580
66,Nagesh Kambli,Sachin Shetty,2024-01-26,39,25,4605,1837
67,Mohan Lamani,Mahesh Desai,2023-11-01,52,23,7377,2934
68,Manoj Bai,Siddaraju Reddy,2023-04-04,128,17,1622,646
69,Nandish Yadav,Nagesh Kulkarni,2024-03-17,518,10,,
70,Krishna Yadav,Rekha Naik,2023-01-03,520,17,6979,2777
71,Mahesh Bhat,Pavan Rao,2024-11-21,409,17,1776,707
72,Indira Bagewadi,Ganesh Ganiger,2023-06-24,49,21,426,184
73,Sachin Shetty,Naveen Meti,2023-12-29,235,9,2389,956
74,Renuka Swamy,Divya Reddy,2023-10-16,232,1,7537,2998
75,Pooja Shetty,Savitha Kattimani,2024-02-10,312,13,809,337
76,Prasad Kumar,Srinivas Kulkarni,2024-12-05,55,21,389,172
77,Divya Kambli,Rekha Kumar,2024-01-26,357,5,,
78,Sagar Angadi,Nandish Joshi,2024-11-16,187,10,,
79,Radha Desai,Bharath Kumari,2023-08-18,299,20,,
80,Chetan Poojary,Pushpa Salian,2023-06-21,47,1,7447,2960
81,Lakshman Reddy,Vishwanath Meti,2024-05-22,85,12,,
82,Siddaraju Prasad,Ramesh Lamani,2024-08-13,485,14,4093,1639
83,Pavan Hegde,Shivanand Angadi,2023-05-30,299,14,3825,1524
84,Yogesh Bhat,Pushpa Salian,2024-09-05,368,6,5276,2100
85,Anand Nayak,Ashok Hiremath,2023-12-24,332,4,2083,832
86,Priya Salian,Shankar Hosamani,2023-03-19,381,12,,
87,Rajesh Kattimani,Kiran Nayak,2024-01-23,599,21,6534,2595
88,Jagadish Kulkarni,Geetha Siddi,2024-07-17,228,16,,
89,Kumaraswamy Desai,Geetha Patil,2023-07-10,238,21,19669,8999
90,Prasad Bhat,Ambika Salian,2024-01-07,199,15,16572,7430
91,Surya Poojary,Vasantha Murthy,2023-07-24,139,4,,
92,Mohan Shetty,Vishwanath Naikar,2023-08-22,106,11,,
93,Shivakumar Meti,Ganesh Murthy,2023-01-02,320,12,,
94,Pavan Kumari,Girish Bai,2023-05-01,364,22,,
95,Deepak Shankar,Siddaraju Joshi,2024-06-12,377,21,6819,2710
96,Ashok Kumari,Chetan Kumari,2024-11-30,453,2,145,58
97,Meena Murthy,Deepak Hegde,2023-08-03,149,1,7381,2935
98,Mohan Lamani,Rajeshwari Meti,2023-07-17,209,2,,
99,Deepa Kulkarni,Chandrika Shetty,2024-05-08,497,19,,
100,Prakash Bangera,Basavaraj Bai,2023-04-29,410,18,1326,533
101,Chetan Kattimani,Chandrika Devi,2024-08-19,405,28,,
102,Sachin Shetty,Arun Desai,2023-11-08,494,10,21219,9751
103,Mahesh Gupta,Sachin Bhat,2023-11-08,116,25,5585,2223
104,Umesh Angadi,Shankar Hosamani,2024-03-29,174,2,78,33
105,Padma Naik,Sunitha Salian,2023-01-25,89,28,,
106,Mahesh Bangera,Surya Patil,2023-07-05,403,29,,
107,Mahesh Kambli,Gopal Naikar,2024-01-28,207,26,,
108,Savitha Prasad,Pooja Shetty,2023-07-29,63,17,13571,5941
109,Vidya Kattimani,Chetan Lamani,2023-05-24,436,8,3423,1366
110,Shivanand Nayak,Sagar Gupta,2024-02-11,488,6,,
111,Ravi Rao,Anand Savanur,2024-05-25,126,1,50,22
112,Anil Savanur,Divya Yadav,2024-02-23,214,26,8215,3323
113,Radha Nayak,Renuka Bagewadi,2024-09-25,357,24,,
114,Umesh Bai,Ganesh Devi,2023-06-09,246,11,3432,1369
115,Lakshman Shetty,Deepa Patil,2023-03-15,353,2,2055,821
116,Radha Bhat,Kumaraswamy Bhat,2024-04-23,203,10,,
117,Pooja Poojary,Geetha Siddi,2024-05-22,270,28,,
118,Vishwanath Desai,Rashmi Hegde,2023-02-10,120,23,7392,2939
119,Saraswathi Patil,Jyothi Poojary,2024-03-18,538,1,7367,2930
120,Prasad Naikar,Saraswathi Patil,2023-04-18,57,2,1943,776
121,Nagesh Kambli,Vishwanath Murthy,2023-05-06,231,25,4811,1913
122,Lakshmi Siddi,Kamala Hiremath,2024-04-02,30,30,,
123,Sagar Shankar,Deepa Kattimani,2023-07-06,373,7,,
124,Saraswathi Shankar,Pooja Hiremath,2024-01-23,360,24,,
125,Chandrika Bhat,Vidya Kumari,2023-04-25,287,3,6732,2671
126,Mahesh Nayak,Jagadish Murthy,2024-05-08,82,24,,
127,Ramesh Kumar,Shankar Bagewadi,2024-05-30,286,2,,
128,Venkatesh Poojary,Ravi Rao,2023-06-17,301,18,3571,1426
129,Chandrashekar Bai,Asha Kattimani,2024-03-29,407,30,,
130,Chandrika Joshi,Manjunath Ganiger,2024-04-04,590,12,3286,1315
131,Meena Naik,Lakshman Yadav,2024-04-11,226,1,4380,1752
132,Chandrashekar Bagewadi,Deepa Reddy,2024-12-18,277,28,1374,553
133,Renuka Bangera,Santosh Desai,2024-10-21,215,25,4713,1875
134,Sagar Desai,Santosh Gupta,2023-04-10,588,12,,
135,Mangala Lamani,Chetan Poojary,2023-05-27,188,27,2722,1091
136,Yogesh Raju,Ganesh Kattimani,2024-12-02,177,4,2219,889
137,Renuka Rao,Sharada Bhat,2024-04-03,455,26,,
138,Sachin Shetty,Suma Meti,2023-04-29,467,15,2548,1024
139,Renuka Kulkarni,Sunitha Salian,2023-08-14,320,11,,
140,Parvathi Naikar,Kamala Bhat,2023-09-11,110,3,,
141,Shivanand Hosamani,Harish Salian,2023-12-24,378,1,,
142,Sharada Kumari,Sagar Kattimani,2024-12-26,593,2,19898,9114
143,Pavan Hegde,Pushpa Salian,2023-10-08,31,14,3837,1529
144,Kamala Nayak,Sneha Prasad,2023-10-15,202,21,487,209
145,Prasad Kumar,Nandish Hiremath,2023-07-18,30,21,374,166
146,Chandrika Gupta,Manoj Bai,2024-11-22,230,17,6868,2730
147,Sachin Shetty,Santosh Angadi,2024-02-08,231,9,2278,912
148,Latha Hosamani,Priya Kumari,2023-12-16,112,6,5805,2315
149,Pavan Rao,Siddaraju Desai,2024-10-06,355,28,,
150,Ganesh Kambli,Yashodha Ganiger,2023-07-26,565,30,2540,1021
151,Sneha Prasad,Latha Bagewadi,2024-07-01,50,2,314,138
152,Saraswathi Bhat,Savitha Naikar,2024-07-20,401,18,,
153,Chandrashekar Kattimani,Divya Reddy,2024-02-10,383,8,3603,1435
154,Krishna Devi,Kiran Shetty,2024-03-26,589,1,,
155,Nagaraj Salian,Rekha Joshi,2024-02-23,457,30,,
156,Shivakumar Raju,Suma Prasad,2023-01-02,503,8,,
157,Venkatesh Devi,Vinay Joshi,2023-03-31,87,7,,
158,Ravi Rao,Priya Kattimani,2024-01-27,534,2,129,52
159,Renuka Savanur,Priya Swamy,2023-08-07,320,10,2930,1173
160,Madhu Kulkarni,Mahesh Gupta,2023-03-11,182,15,2392,959
161,Girish Siddi,Indira Bhat,2023-05-23,545,19,,
162,Nagaraj Angadi,Padma Savanur,2024-04-18,119,29,9502,3955
163,Lakshmi Hegde,Prakash Prasad,2023-03-13,375,9,,
164,Vidya Reddy,Geetha Bai,2024-03-16,452,4,,
165,Sachin Bangera,Shobha Raju,2023-09-14,587,9,,
166,Arun Hegde,Padma Savanur,2023-05-18,33,7,,
167,Sunitha Shetty,Darshan Bhat,2023-04-16,424,24,4269,1710
168,Siddaraju Reddy,Naveen Raju,2024-01-23,390,26,2914,1167
169,Venkatesh Poojary,Kumaraswamy Hegde,2024-11-23,406,8,3673,1464
170,Ganesh Ganiger,Naveen Raju,2023-12-07,338,25,4594,1834
171,Nagesh Kumari,Basavaraj Ganiger,2024-09-17,491,4,2101,840
172,Parvathi Ganiger,Jagadish Joshi,2023-03-30,182,11,,
173,Parvathi Hosamani,Rajesh Bhat,2023-02-14,376,14,10114,4255
174,Shivakumar Hiremath,Darshan Acharya,2023-12-13,259,8,,
175,Nandini Naik,Darshan Hegde,2024-06-06,204,13,,
176,Lakshman Poojary,Siddaraju Ganiger,2024-02-06,175,24,,
177,Rekha Murthy,Shivanand Kumar,2023-06-08,428,6,4924,1955
178,Rajesh Kumar,Suresh Angadi,2024-01-19,423,17,,
179,Parvathi Acharya,Pavan Ganiger,2024-03-20,295,6,,
180,Surya Kumar,Manjunath Bagewadi,2023-05-13,206,8,,
181,Girish Shankar,Vasantha Hegde,2024-07-08,209,9,,
182,Shankar Hosamani,Kiran Patil,2024-07-29,87,20,6203,2469
183,Divya Kumari,Nandini Hosamani,2024-03-04,82,1,7341,2920
