txn_id,sender_name,receiver_name,amount,txn_date,txn_type,linked_case_id,linked_accused_id,is_suspicious
1,Suresh Yadav,Rashmi Patil,11510.15,2024-04-26,NEFT,,,0
2,Nagaraj Ganiger,Divya Rao,3223.18,2023-06-14,IMPS,,,0
3,Mahesh Gupta,Suresh Ganiger,1630.16,2024-12-21,IMPS,2141,5385,0
4,Sneha Prasad,Jyothi Poojary,4167.96,2023-02-05,UPI,6921,15515,0
5,Santosh Nayak,Prasad Bagewadi,5216.17,2023-02-26,UPI,2580,6492,1
6,Shankar Ganiger,Prakash Kambli,4823.11,2024-04-05,NEFT,1013,2522,0
7,Vishwanath Nayak,Ganesh Kattimani,7770.8,2024-06-29,IMPS,997,2483,1
8,Padma Gowda,Indira Rao,2490.2,2023-10-15,Cash,2341,5871,1
9,Jagadish Yadav,Manjunath Desai,13586.86,2024-01-15,Cash,1534,3854,0
10,Manjunath Savanur,Anand Lamani,6357.28,2024-06-09,UPI,,,0
11,Srinivas Reddy,Arun Lamani,2405.15,2023-03-26,IMPS,,,0
12,Saraswathi Gupta,Vishwanath Bagewadi,45684.8,2024-01-29,NEFT,,,0
13,Nagesh Kulkarni,Padma Rao,500,2024-12-30,UPI,,,0
14,Vinay Kumar,Gopal Siddi,128783.63,2023-11-11,UPI,,,0
15,Anil Bhat,Padma Gowda,7363.65,2023-06-28,NEFT,1903,4785,0
16,Latha Bhat,Vasantha Angadi,23723.55,2023-12-23,IMPS,,,0
17,Radha Murthy,Girish Lamani,500,2024-08-12,Cash,7772,17203,0
18,Sunitha Ganiger,Gopal Kattimani,3336.68,2024-11-05,NEFT,4947,11571,0
19,Ambika Patil,Srinivas Gowda,500,2024-01-19,IMPS,718,1805,1
20,Vidya Gowda,Suresh Shetty,156462.06,2024-06-04,NEFT,,,0
21,Latha Bagewadi,Umesh Savanur,17080.47,2023-09-08,Cash,653,1640,1
22,Chandrika Gowda,Indira Kattimani,593417.67,2024-03-24,Cash,9846,21413,0
23,Kamala Nayak,Yogesh Raju,500,2023-03-12,Cash,195,457,0
24,Hanumanthappa Hiremath,Sagar Siddi,698.43,2024-05-09,Cash,,,0
25,Rajesh Devi,Bharathi Kumar,9431.0,2023-10-17,UPI,1956,4926,0
26,Gopal Naik,Nagesh Kambli,6664.54,2024-10-03,NEFT,1080,2688,0
27,Mahesh Gupta,Anand Savanur,514.99,2024-05-10,Cash,2189,5495,0
28,Venkatesh Kumar,Rajesh Devi,52978.89,2024-06-09,IMPS,,,0
29,Yogesh Raju,Kumaraswamy Acharya,111279.81,2024-07-01,Cash,890,2223,1
